,ID,RA,Dec,TIC_match,WISE_match
0,1.03e+18,127.0325752,56.427572,,"      AllWISE         RAJ2000     DEJ2000    Im W1mag  e_W1mag W2mag  e_W2mag W3mag  e_W3mag W4mag  e_W4mag  Jmag  e_Jmag  Hmag  e_Hmag  Kmag  e_Kmag ccf   ex var    pmRA    e_pmRA    pmDE    e_pmDE  qph   d2M    2M
                        deg         deg          mag     mag    mag     mag    mag     mag    mag     mag    mag    mag    mag    mag    mag    mag                 mas / yr mas / yr mas / yr mas / yr      arcsec    
------------------- ----------- ----------- --- ------ ------- ------ ------- ------ ------- ------ ------- ------ ------ ------ ------ ------ ------ ---- --- ---- -------- -------- -------- -------- ---- ------ ---
J082807.88+562539.2 127.0328376  56.4275688  Im 10.134   0.024  9.981   0.021  9.797   0.052  8.411      -- 11.096  0.018 10.527  0.015 10.279  0.022 h000   0 001n      -18       37      -53       37 AAAU  0.956  2M"
1,3.73602e+17,17.82852633,43.413376,,"      AllWISE         RAJ2000     DEJ2000    Im W1mag  e_W1mag W2mag  e_W2mag W3mag  e_W3mag W4mag  e_W4mag  Jmag  e_Jmag  Hmag  e_Hmag  Kmag  e_Kmag ccf   ex var    pmRA    e_pmRA    pmDE    e_pmDE  qph   d2M    2M
                        deg         deg          mag     mag    mag     mag    mag     mag    mag     mag    mag    mag    mag    mag    mag    mag                 mas / yr mas / yr mas / yr mas / yr      arcsec    
------------------- ----------- ----------- --- ------ ------- ------ ------- ------ ------- ------ ------- ------ ------ ------ ------ ------ ------ ---- --- ---- -------- -------- -------- -------- ---- ------ ---
J011118.79+432447.6  17.8283174  43.4132484  Im  9.843   0.022  9.775   0.020  9.650   0.037  9.038   0.423 10.802  0.023 10.186  0.022  9.962  0.020 0000   0 110n      104       26      -90       25 AAAC  1.276  2M"
2,6.89603e+18,319.5624358,-9.149003,,"      AllWISE         RAJ2000     DEJ2000    Im W1mag  e_W1mag W2mag  e_W2mag W3mag  e_W3mag W4mag  e_W4mag  Jmag  e_Jmag  Hmag  e_Hmag  Kmag  e_Kmag ccf   ex var    pmRA    e_pmRA    pmDE    e_pmDE  qph   d2M    2M
                        deg         deg          mag     mag    mag     mag    mag     mag    mag     mag    mag    mag    mag    mag    mag    mag                 mas / yr mas / yr mas / yr mas / yr      arcsec    
------------------- ----------- ----------- --- ------ ------- ------ ------- ------ ------- ------ ------- ------ ------ ------ ------ ------ ------ ---- --- ---- -------- -------- -------- -------- ---- ------ ---
J211814.95-090856.5 319.5623080  -9.1490410  Im  9.730   0.023  9.631   0.020  9.494   0.037  8.459      -- 10.722  0.026 10.117  0.023  9.855  0.019 0000   1 000n      -55       39       -1       38 AAAU  0.649  2M"
3,1.35e+17,40.15355503,33.999074,,"      AllWISE         RAJ2000     DEJ2000    Im W1mag  e_W1mag W2mag  e_W2mag W3mag  e_W3mag W4mag  e_W4mag  Jmag  e_Jmag  Hmag  e_Hmag  Kmag  e_Kmag ccf   ex var    pmRA    e_pmRA    pmDE    e_pmDE  qph   d2M    2M
                        deg         deg          mag     mag    mag     mag    mag     mag    mag     mag    mag    mag    mag    mag    mag    mag                 mas / yr mas / yr mas / yr mas / yr      arcsec    
------------------- ----------- ----------- --- ------ ------- ------ ------- ------ ------- ------ ------- ------ ------ ------ ------ ------ ------ ---- --- ---- -------- -------- -------- -------- ---- ------ ---
J024036.84+335955.7  40.1535134  33.9988084  Im  9.845   0.023  9.744   0.021  9.758   0.052  8.425      -- 10.851  0.022 10.243  0.022  9.982  0.018 0000   0 110n      138       38       -9       38 AAAU  1.117  2M"
4,3.09e+18,125.4011318,2.688977,,"      AllWISE         RAJ2000     DEJ2000    Im W1mag  e_W1mag W2mag  e_W2mag W3mag  e_W3mag W4mag  e_W4mag  Jmag  e_Jmag  Hmag  e_Hmag  Kmag  e_Kmag ccf   ex var    pmRA    e_pmRA    pmDE    e_pmDE  qph   d2M    2M
                        deg         deg          mag     mag    mag     mag    mag     mag    mag     mag    mag    mag    mag    mag    mag    mag                 mas / yr mas / yr mas / yr mas / yr      arcsec    
------------------- ----------- ----------- --- ------ ------- ------ ------- ------ ------- ------ ------- ------ ------ ------ ------ ------ ------ ---- --- ---- -------- -------- -------- -------- ---- ------ ---
J082136.28+024119.1 125.4011680   2.6886646  Im  9.989   0.023  9.883   0.020  9.792   0.061  8.709      -- 10.998  0.027 10.396  0.026 10.128  0.019 0000   0 000n       77       36     -112       35 AAAU  1.200  2M"
